# Created by Octave 5.2.0, Tue Sep 14 16:01:47 2021 UTC <root@0x00>
# name: H
# type: complex matrix
# rows: 47
# columns: 47
 (1,0) (0.9999819377321717,-0.006010341871398912) (0.9999819377321717,0.006010341871398912) (0.44916203367079621,-0.89345031619487048) (0.44916203367079621,0.89345031619487048) (0.68267698184321346,-0.73072028742976669) (0.68267698184321346,0.73072028742976669) (0.92599610510330754,0.37753306257002778) (0.92599610510330754,-0.37753306257002778) (0.68479258567041035,-0.72873802879418514) (0.68479258567041035,0.72873802879418514) (-0.82450801314666189,0.56585027724385173) (-0.82450801314666189,-0.56585027724385173) (-0.14635343433824743,-0.98923236514855317) (-0.14635343433824743,0.98923236514855317) (-0.59991921910421486,0.80006057929971086) (-0.59991921910421486,-0.80006057929971086) (0.42066610498016999,-0.90721553564784796) (0.42066610498016999,0.90721553564784796) (-0.477520517802206,-0.87862059791352098) (-0.477520517802206,0.87862059791352098) (0.99995790004565066,-0.0091759542442507794) (0.99995790004565066,0.0091759542442507794) (-0.031343691423530294,-0.99950866579932485) (-0.031343691423530294,0.99950866579932485) (-0.087046081437866879,-0.99620428613126943) (-0.087046081437866879,0.99620428613126943) (-0.68469151647064741,0.72883298997309709) (-0.68469151647064741,-0.72883298997309709) (-0.40156397642803976,0.91583097394404667) (-0.40156397642803976,-0.91583097394404667) (0.8038648852085184,0.59481194198561183) (0.8038648852085184,-0.59481194198561183) (-0.92673775145585058,0.37570885007749638) (-0.92673775145585058,-0.37570885007749638) (-0.26567895642847023,-0.96406156033267854) (-0.26567895642847023,0.96406156033267854) (-0.99219092526324004,0.12472837618310913) (-0.99219092526324004,-0.12472837618310913) (-0.27808445302196688,0.96055662872496639) (-0.27808445302196688,-0.96055662872496639) (0.99052640206094977,0.13732241921911256) (0.99052640206094977,-0.13732241921911256) (-0.78330781762881929,-0.62163402645091459) (-0.78330781762881929,0.62163402645091459) (-0.95867858236542669,-0.28449143346297068) (-0.95867858236542669,0.28449143346297068)
 (1,0) (-0.95867858236542669,0.28449143346297068) (-0.95867858236542669,-0.28449143346297068) (0.9999819377321717,0.006010341871398912) (0.9999819377321717,-0.006010341871398912) (0.44916203367079621,0.89345031619487048) (0.44916203367079621,-0.89345031619487048) (0.68267698184321346,0.73072028742976669) (0.68267698184321346,-0.73072028742976669) (0.92599610510330754,-0.37753306257002778) (0.92599610510330754,0.37753306257002778) (0.68479258567041035,0.72873802879418514) (0.68479258567041035,-0.72873802879418514) (-0.82450801314666189,-0.56585027724385173) (-0.82450801314666189,0.56585027724385173) (-0.14635343433824743,0.98923236514855317) (-0.14635343433824743,-0.98923236514855317) (-0.59991921910421486,-0.80006057929971086) (-0.59991921910421486,0.80006057929971086) (0.42066610498016999,0.90721553564784796) (0.42066610498016999,-0.90721553564784796) (-0.477520517802206,0.87862059791352098) (-0.477520517802206,-0.87862059791352098) (0.99995790004565066,0.0091759542442507794) (0.99995790004565066,-0.0091759542442507794) (-0.031343691423530294,0.99950866579932485) (-0.031343691423530294,-0.99950866579932485) (-0.087046081437866879,0.99620428613126943) (-0.087046081437866879,-0.99620428613126943) (-0.68469151647064741,-0.72883298997309709) (-0.68469151647064741,0.72883298997309709) (-0.40156397642803976,-0.91583097394404667) (-0.40156397642803976,0.91583097394404667) (0.8038648852085184,-0.59481194198561183) (0.8038648852085184,0.59481194198561183) (-0.92673775145585058,-0.37570885007749638) (-0.92673775145585058,0.37570885007749638) (-0.26567895642847023,0.96406156033267854) (-0.26567895642847023,-0.96406156033267854) (-0.99219092526324004,-0.12472837618310913) (-0.99219092526324004,0.12472837618310913) (-0.27808445302196688,-0.96055662872496639) (-0.27808445302196688,0.96055662872496639) (0.99052640206094977,-0.13732241921911256) (0.99052640206094977,0.13732241921911256) (-0.78330781762881929,0.62163402645091459) (-0.78330781762881929,-0.62163402645091459)
 (1,0) (-0.95867858236542669,-0.28449143346297068) (-0.95867858236542669,0.28449143346297068) (0.9999819377321717,-0.006010341871398912) (0.9999819377321717,0.006010341871398912) (0.44916203367079621,-0.89345031619487048) (0.44916203367079621,0.89345031619487048) (0.68267698184321346,-0.73072028742976669) (0.68267698184321346,0.73072028742976669) (0.92599610510330754,0.37753306257002778) (0.92599610510330754,-0.37753306257002778) (0.68479258567041035,-0.72873802879418514) (0.68479258567041035,0.72873802879418514) (-0.82450801314666189,0.56585027724385173) (-0.82450801314666189,-0.56585027724385173) (-0.14635343433824743,-0.98923236514855317) (-0.14635343433824743,0.98923236514855317) (-0.59991921910421486,0.80006057929971086) (-0.59991921910421486,-0.80006057929971086) (0.42066610498016999,-0.90721553564784796) (0.42066610498016999,0.90721553564784796) (-0.477520517802206,-0.87862059791352098) (-0.477520517802206,0.87862059791352098) (0.99995790004565066,-0.0091759542442507794) (0.99995790004565066,0.0091759542442507794) (-0.031343691423530294,-0.99950866579932485) (-0.031343691423530294,0.99950866579932485) (-0.087046081437866879,-0.99620428613126943) (-0.087046081437866879,0.99620428613126943) (-0.68469151647064741,0.72883298997309709) (-0.68469151647064741,-0.72883298997309709) (-0.40156397642803976,0.91583097394404667) (-0.40156397642803976,-0.91583097394404667) (0.8038648852085184,0.59481194198561183) (0.8038648852085184,-0.59481194198561183) (-0.92673775145585058,0.37570885007749638) (-0.92673775145585058,-0.37570885007749638) (-0.26567895642847023,-0.96406156033267854) (-0.26567895642847023,0.96406156033267854) (-0.99219092526324004,0.12472837618310913) (-0.99219092526324004,-0.12472837618310913) (-0.27808445302196688,0.96055662872496639) (-0.27808445302196688,-0.96055662872496639) (0.99052640206094977,0.13732241921911256) (0.99052640206094977,-0.13732241921911256) (-0.78330781762881929,-0.62163402645091459) (-0.78330781762881929,0.62163402645091459)
 (1,0) (-0.78330781762881929,0.62163402645091459) (-0.78330781762881929,-0.62163402645091459) (-0.95867858236542669,0.28449143346297068) (-0.95867858236542669,-0.28449143346297068) (0.9999819377321717,0.006010341871398912) (0.9999819377321717,-0.006010341871398912) (0.44916203367079621,0.89345031619487048) (0.44916203367079621,-0.89345031619487048) (0.68267698184321346,0.73072028742976669) (0.68267698184321346,-0.73072028742976669) (0.92599610510330754,-0.37753306257002778) (0.92599610510330754,0.37753306257002778) (0.68479258567041035,0.72873802879418514) (0.68479258567041035,-0.72873802879418514) (-0.82450801314666189,-0.56585027724385173) (-0.82450801314666189,0.56585027724385173) (-0.14635343433824743,0.98923236514855317) (-0.14635343433824743,-0.98923236514855317) (-0.59991921910421486,-0.80006057929971086) (-0.59991921910421486,0.80006057929971086) (0.42066610498016999,0.90721553564784796) (0.42066610498016999,-0.90721553564784796) (-0.477520517802206,0.87862059791352098) (-0.477520517802206,-0.87862059791352098) (0.99995790004565066,0.0091759542442507794) (0.99995790004565066,-0.0091759542442507794) (-0.031343691423530294,0.99950866579932485) (-0.031343691423530294,-0.99950866579932485) (-0.087046081437866879,0.99620428613126943) (-0.087046081437866879,-0.99620428613126943) (-0.68469151647064741,-0.72883298997309709) (-0.68469151647064741,0.72883298997309709) (-0.40156397642803976,-0.91583097394404667) (-0.40156397642803976,0.91583097394404667) (0.8038648852085184,-0.59481194198561183) (0.8038648852085184,0.59481194198561183) (-0.92673775145585058,-0.37570885007749638) (-0.92673775145585058,0.37570885007749638) (-0.26567895642847023,0.96406156033267854) (-0.26567895642847023,-0.96406156033267854) (-0.99219092526324004,-0.12472837618310913) (-0.99219092526324004,0.12472837618310913) (-0.27808445302196688,-0.96055662872496639) (-0.27808445302196688,0.96055662872496639) (0.99052640206094977,-0.13732241921911256) (0.99052640206094977,0.13732241921911256)
 (1,0) (-0.78330781762881929,-0.62163402645091459) (-0.78330781762881929,0.62163402645091459) (-0.95867858236542669,-0.28449143346297068) (-0.95867858236542669,0.28449143346297068) (0.9999819377321717,-0.006010341871398912) (0.9999819377321717,0.006010341871398912) (0.44916203367079621,-0.89345031619487048) (0.44916203367079621,0.89345031619487048) (0.68267698184321346,-0.73072028742976669) (0.68267698184321346,0.73072028742976669) (0.92599610510330754,0.37753306257002778) (0.92599610510330754,-0.37753306257002778) (0.68479258567041035,-0.72873802879418514) (0.68479258567041035,0.72873802879418514) (-0.82450801314666189,0.56585027724385173) (-0.82450801314666189,-0.56585027724385173) (-0.14635343433824743,-0.98923236514855317) (-0.14635343433824743,0.98923236514855317) (-0.59991921910421486,0.80006057929971086) (-0.59991921910421486,-0.80006057929971086) (0.42066610498016999,-0.90721553564784796) (0.42066610498016999,0.90721553564784796) (-0.477520517802206,-0.87862059791352098) (-0.477520517802206,0.87862059791352098) (0.99995790004565066,-0.0091759542442507794) (0.99995790004565066,0.0091759542442507794) (-0.031343691423530294,-0.99950866579932485) (-0.031343691423530294,0.99950866579932485) (-0.087046081437866879,-0.99620428613126943) (-0.087046081437866879,0.99620428613126943) (-0.68469151647064741,0.72883298997309709) (-0.68469151647064741,-0.72883298997309709) (-0.40156397642803976,0.91583097394404667) (-0.40156397642803976,-0.91583097394404667) (0.8038648852085184,0.59481194198561183) (0.8038648852085184,-0.59481194198561183) (-0.92673775145585058,0.37570885007749638) (-0.92673775145585058,-0.37570885007749638) (-0.26567895642847023,-0.96406156033267854) (-0.26567895642847023,0.96406156033267854) (-0.99219092526324004,0.12472837618310913) (-0.99219092526324004,-0.12472837618310913) (-0.27808445302196688,0.96055662872496639) (-0.27808445302196688,-0.96055662872496639) (0.99052640206094977,0.13732241921911256) (0.99052640206094977,-0.13732241921911256)
 (1,0) (0.99052640206094977,-0.13732241921911256) (0.99052640206094977,0.13732241921911256) (-0.78330781762881929,0.62163402645091459) (-0.78330781762881929,-0.62163402645091459) (-0.95867858236542669,0.28449143346297068) (-0.95867858236542669,-0.28449143346297068) (0.9999819377321717,0.006010341871398912) (0.9999819377321717,-0.006010341871398912) (0.44916203367079621,0.89345031619487048) (0.44916203367079621,-0.89345031619487048) (0.68267698184321346,0.73072028742976669) (0.68267698184321346,-0.73072028742976669) (0.92599610510330754,-0.37753306257002778) (0.92599610510330754,0.37753306257002778) (0.68479258567041035,0.72873802879418514) (0.68479258567041035,-0.72873802879418514) (-0.82450801314666189,-0.56585027724385173) (-0.82450801314666189,0.56585027724385173) (-0.14635343433824743,0.98923236514855317) (-0.14635343433824743,-0.98923236514855317) (-0.59991921910421486,-0.80006057929971086) (-0.59991921910421486,0.80006057929971086) (0.42066610498016999,0.90721553564784796) (0.42066610498016999,-0.90721553564784796) (-0.477520517802206,0.87862059791352098) (-0.477520517802206,-0.87862059791352098) (0.99995790004565066,0.0091759542442507794) (0.99995790004565066,-0.0091759542442507794) (-0.031343691423530294,0.99950866579932485) (-0.031343691423530294,-0.99950866579932485) (-0.087046081437866879,0.99620428613126943) (-0.087046081437866879,-0.99620428613126943) (-0.68469151647064741,-0.72883298997309709) (-0.68469151647064741,0.72883298997309709) (-0.40156397642803976,-0.91583097394404667) (-0.40156397642803976,0.91583097394404667) (0.8038648852085184,-0.59481194198561183) (0.8038648852085184,0.59481194198561183) (-0.92673775145585058,-0.37570885007749638) (-0.92673775145585058,0.37570885007749638) (-0.26567895642847023,0.96406156033267854) (-0.26567895642847023,-0.96406156033267854) (-0.99219092526324004,-0.12472837618310913) (-0.99219092526324004,0.12472837618310913) (-0.27808445302196688,-0.96055662872496639) (-0.27808445302196688,0.96055662872496639)
 (1,0) (0.99052640206094977,0.13732241921911256) (0.99052640206094977,-0.13732241921911256) (-0.78330781762881929,-0.62163402645091459) (-0.78330781762881929,0.62163402645091459) (-0.95867858236542669,-0.28449143346297068) (-0.95867858236542669,0.28449143346297068) (0.9999819377321717,-0.006010341871398912) (0.9999819377321717,0.006010341871398912) (0.44916203367079621,-0.89345031619487048) (0.44916203367079621,0.89345031619487048) (0.68267698184321346,-0.73072028742976669) (0.68267698184321346,0.73072028742976669) (0.92599610510330754,0.37753306257002778) (0.92599610510330754,-0.37753306257002778) (0.68479258567041035,-0.72873802879418514) (0.68479258567041035,0.72873802879418514) (-0.82450801314666189,0.56585027724385173) (-0.82450801314666189,-0.56585027724385173) (-0.14635343433824743,-0.98923236514855317) (-0.14635343433824743,0.98923236514855317) (-0.59991921910421486,0.80006057929971086) (-0.59991921910421486,-0.80006057929971086) (0.42066610498016999,-0.90721553564784796) (0.42066610498016999,0.90721553564784796) (-0.477520517802206,-0.87862059791352098) (-0.477520517802206,0.87862059791352098) (0.99995790004565066,-0.0091759542442507794) (0.99995790004565066,0.0091759542442507794) (-0.031343691423530294,-0.99950866579932485) (-0.031343691423530294,0.99950866579932485) (-0.087046081437866879,-0.99620428613126943) (-0.087046081437866879,0.99620428613126943) (-0.68469151647064741,0.72883298997309709) (-0.68469151647064741,-0.72883298997309709) (-0.40156397642803976,0.91583097394404667) (-0.40156397642803976,-0.91583097394404667) (0.8038648852085184,0.59481194198561183) (0.8038648852085184,-0.59481194198561183) (-0.92673775145585058,0.37570885007749638) (-0.92673775145585058,-0.37570885007749638) (-0.26567895642847023,-0.96406156033267854) (-0.26567895642847023,0.96406156033267854) (-0.99219092526324004,0.12472837618310913) (-0.99219092526324004,-0.12472837618310913) (-0.27808445302196688,0.96055662872496639) (-0.27808445302196688,-0.96055662872496639)
 (1,0) (-0.27808445302196688,-0.96055662872496639) (-0.27808445302196688,0.96055662872496639) (0.99052640206094977,-0.13732241921911256) (0.99052640206094977,0.13732241921911256) (-0.78330781762881929,0.62163402645091459) (-0.78330781762881929,-0.62163402645091459) (-0.95867858236542669,0.28449143346297068) (-0.95867858236542669,-0.28449143346297068) (0.9999819377321717,0.006010341871398912) (0.9999819377321717,-0.006010341871398912) (0.44916203367079621,0.89345031619487048) (0.44916203367079621,-0.89345031619487048) (0.68267698184321346,0.73072028742976669) (0.68267698184321346,-0.73072028742976669) (0.92599610510330754,-0.37753306257002778) (0.92599610510330754,0.37753306257002778) (0.68479258567041035,0.72873802879418514) (0.68479258567041035,-0.72873802879418514) (-0.82450801314666189,-0.56585027724385173) (-0.82450801314666189,0.56585027724385173) (-0.14635343433824743,0.98923236514855317) (-0.14635343433824743,-0.98923236514855317) (-0.59991921910421486,-0.80006057929971086) (-0.59991921910421486,0.80006057929971086) (0.42066610498016999,0.90721553564784796) (0.42066610498016999,-0.90721553564784796) (-0.477520517802206,0.87862059791352098) (-0.477520517802206,-0.87862059791352098) (0.99995790004565066,0.0091759542442507794) (0.99995790004565066,-0.0091759542442507794) (-0.031343691423530294,0.99950866579932485) (-0.031343691423530294,-0.99950866579932485) (-0.087046081437866879,0.99620428613126943) (-0.087046081437866879,-0.99620428613126943) (-0.68469151647064741,-0.72883298997309709) (-0.68469151647064741,0.72883298997309709) (-0.40156397642803976,-0.91583097394404667) (-0.40156397642803976,0.91583097394404667) (0.8038648852085184,-0.59481194198561183) (0.8038648852085184,0.59481194198561183) (-0.92673775145585058,-0.37570885007749638) (-0.92673775145585058,0.37570885007749638) (-0.26567895642847023,0.96406156033267854) (-0.26567895642847023,-0.96406156033267854) (-0.99219092526324004,-0.12472837618310913) (-0.99219092526324004,0.12472837618310913)
 (1,0) (-0.27808445302196688,0.96055662872496639) (-0.27808445302196688,-0.96055662872496639) (0.99052640206094977,0.13732241921911256) (0.99052640206094977,-0.13732241921911256) (-0.78330781762881929,-0.62163402645091459) (-0.78330781762881929,0.62163402645091459) (-0.95867858236542669,-0.28449143346297068) (-0.95867858236542669,0.28449143346297068) (0.9999819377321717,-0.006010341871398912) (0.9999819377321717,0.006010341871398912) (0.44916203367079621,-0.89345031619487048) (0.44916203367079621,0.89345031619487048) (0.68267698184321346,-0.73072028742976669) (0.68267698184321346,0.73072028742976669) (0.92599610510330754,0.37753306257002778) (0.92599610510330754,-0.37753306257002778) (0.68479258567041035,-0.72873802879418514) (0.68479258567041035,0.72873802879418514) (-0.82450801314666189,0.56585027724385173) (-0.82450801314666189,-0.56585027724385173) (-0.14635343433824743,-0.98923236514855317) (-0.14635343433824743,0.98923236514855317) (-0.59991921910421486,0.80006057929971086) (-0.59991921910421486,-0.80006057929971086) (0.42066610498016999,-0.90721553564784796) (0.42066610498016999,0.90721553564784796) (-0.477520517802206,-0.87862059791352098) (-0.477520517802206,0.87862059791352098) (0.99995790004565066,-0.0091759542442507794) (0.99995790004565066,0.0091759542442507794) (-0.031343691423530294,-0.99950866579932485) (-0.031343691423530294,0.99950866579932485) (-0.087046081437866879,-0.99620428613126943) (-0.087046081437866879,0.99620428613126943) (-0.68469151647064741,0.72883298997309709) (-0.68469151647064741,-0.72883298997309709) (-0.40156397642803976,0.91583097394404667) (-0.40156397642803976,-0.91583097394404667) (0.8038648852085184,0.59481194198561183) (0.8038648852085184,-0.59481194198561183) (-0.92673775145585058,0.37570885007749638) (-0.92673775145585058,-0.37570885007749638) (-0.26567895642847023,-0.96406156033267854) (-0.26567895642847023,0.96406156033267854) (-0.99219092526324004,0.12472837618310913) (-0.99219092526324004,-0.12472837618310913)
 (1,0) (-0.99219092526324004,-0.12472837618310913) (-0.99219092526324004,0.12472837618310913) (-0.27808445302196688,-0.96055662872496639) (-0.27808445302196688,0.96055662872496639) (0.99052640206094977,-0.13732241921911256) (0.99052640206094977,0.13732241921911256) (-0.78330781762881929,0.62163402645091459) (-0.78330781762881929,-0.62163402645091459) (-0.95867858236542669,0.28449143346297068) (-0.95867858236542669,-0.28449143346297068) (0.9999819377321717,0.006010341871398912) (0.9999819377321717,-0.006010341871398912) (0.44916203367079621,0.89345031619487048) (0.44916203367079621,-0.89345031619487048) (0.68267698184321346,0.73072028742976669) (0.68267698184321346,-0.73072028742976669) (0.92599610510330754,-0.37753306257002778) (0.92599610510330754,0.37753306257002778) (0.68479258567041035,0.72873802879418514) (0.68479258567041035,-0.72873802879418514) (-0.82450801314666189,-0.56585027724385173) (-0.82450801314666189,0.56585027724385173) (-0.14635343433824743,0.98923236514855317) (-0.14635343433824743,-0.98923236514855317) (-0.59991921910421486,-0.80006057929971086) (-0.59991921910421486,0.80006057929971086) (0.42066610498016999,0.90721553564784796) (0.42066610498016999,-0.90721553564784796) (-0.477520517802206,0.87862059791352098) (-0.477520517802206,-0.87862059791352098) (0.99995790004565066,0.0091759542442507794) (0.99995790004565066,-0.0091759542442507794) (-0.031343691423530294,0.99950866579932485) (-0.031343691423530294,-0.99950866579932485) (-0.087046081437866879,0.99620428613126943) (-0.087046081437866879,-0.99620428613126943) (-0.68469151647064741,-0.72883298997309709) (-0.68469151647064741,0.72883298997309709) (-0.40156397642803976,-0.91583097394404667) (-0.40156397642803976,0.91583097394404667) (0.8038648852085184,-0.59481194198561183) (0.8038648852085184,0.59481194198561183) (-0.92673775145585058,-0.37570885007749638) (-0.92673775145585058,0.37570885007749638) (-0.26567895642847023,0.96406156033267854) (-0.26567895642847023,-0.96406156033267854)
 (1,0) (-0.99219092526324004,0.12472837618310913) (-0.99219092526324004,-0.12472837618310913) (-0.27808445302196688,0.96055662872496639) (-0.27808445302196688,-0.96055662872496639) (0.99052640206094977,0.13732241921911256) (0.99052640206094977,-0.13732241921911256) (-0.78330781762881929,-0.62163402645091459) (-0.78330781762881929,0.62163402645091459) (-0.95867858236542669,-0.28449143346297068) (-0.95867858236542669,0.28449143346297068) (0.9999819377321717,-0.006010341871398912) (0.9999819377321717,0.006010341871398912) (0.44916203367079621,-0.89345031619487048) (0.44916203367079621,0.89345031619487048) (0.68267698184321346,-0.73072028742976669) (0.68267698184321346,0.73072028742976669) (0.92599610510330754,0.37753306257002778) (0.92599610510330754,-0.37753306257002778) (0.68479258567041035,-0.72873802879418514) (0.68479258567041035,0.72873802879418514) (-0.82450801314666189,0.56585027724385173) (-0.82450801314666189,-0.56585027724385173) (-0.14635343433824743,-0.98923236514855317) (-0.14635343433824743,0.98923236514855317) (-0.59991921910421486,0.80006057929971086) (-0.59991921910421486,-0.80006057929971086) (0.42066610498016999,-0.90721553564784796) (0.42066610498016999,0.90721553564784796) (-0.477520517802206,-0.87862059791352098) (-0.477520517802206,0.87862059791352098) (0.99995790004565066,-0.0091759542442507794) (0.99995790004565066,0.0091759542442507794) (-0.031343691423530294,-0.99950866579932485) (-0.031343691423530294,0.99950866579932485) (-0.087046081437866879,-0.99620428613126943) (-0.087046081437866879,0.99620428613126943) (-0.68469151647064741,0.72883298997309709) (-0.68469151647064741,-0.72883298997309709) (-0.40156397642803976,0.91583097394404667) (-0.40156397642803976,-0.91583097394404667) (0.8038648852085184,0.59481194198561183) (0.8038648852085184,-0.59481194198561183) (-0.92673775145585058,0.37570885007749638) (-0.92673775145585058,-0.37570885007749638) (-0.26567895642847023,-0.96406156033267854) (-0.26567895642847023,0.96406156033267854)
 (1,0) (-0.26567895642847023,0.96406156033267854) (-0.26567895642847023,-0.96406156033267854) (-0.99219092526324004,-0.12472837618310913) (-0.99219092526324004,0.12472837618310913) (-0.27808445302196688,-0.96055662872496639) (-0.27808445302196688,0.96055662872496639) (0.99052640206094977,-0.13732241921911256) (0.99052640206094977,0.13732241921911256) (-0.78330781762881929,0.62163402645091459) (-0.78330781762881929,-0.62163402645091459) (-0.95867858236542669,0.28449143346297068) (-0.95867858236542669,-0.28449143346297068) (0.9999819377321717,0.006010341871398912) (0.9999819377321717,-0.006010341871398912) (0.44916203367079621,0.89345031619487048) (0.44916203367079621,-0.89345031619487048) (0.68267698184321346,0.73072028742976669) (0.68267698184321346,-0.73072028742976669) (0.92599610510330754,-0.37753306257002778) (0.92599610510330754,0.37753306257002778) (0.68479258567041035,0.72873802879418514) (0.68479258567041035,-0.72873802879418514) (-0.82450801314666189,-0.56585027724385173) (-0.82450801314666189,0.56585027724385173) (-0.14635343433824743,0.98923236514855317) (-0.14635343433824743,-0.98923236514855317) (-0.59991921910421486,-0.80006057929971086) (-0.59991921910421486,0.80006057929971086) (0.42066610498016999,0.90721553564784796) (0.42066610498016999,-0.90721553564784796) (-0.477520517802206,0.87862059791352098) (-0.477520517802206,-0.87862059791352098) (0.99995790004565066,0.0091759542442507794) (0.99995790004565066,-0.0091759542442507794) (-0.031343691423530294,0.99950866579932485) (-0.031343691423530294,-0.99950866579932485) (-0.087046081437866879,0.99620428613126943) (-0.087046081437866879,-0.99620428613126943) (-0.68469151647064741,-0.72883298997309709) (-0.68469151647064741,0.72883298997309709) (-0.40156397642803976,-0.91583097394404667) (-0.40156397642803976,0.91583097394404667) (0.8038648852085184,-0.59481194198561183) (0.8038648852085184,0.59481194198561183) (-0.92673775145585058,-0.37570885007749638) (-0.92673775145585058,0.37570885007749638)
 (1,0) (-0.26567895642847023,-0.96406156033267854) (-0.26567895642847023,0.96406156033267854) (-0.99219092526324004,0.12472837618310913) (-0.99219092526324004,-0.12472837618310913) (-0.27808445302196688,0.96055662872496639) (-0.27808445302196688,-0.96055662872496639) (0.99052640206094977,0.13732241921911256) (0.99052640206094977,-0.13732241921911256) (-0.78330781762881929,-0.62163402645091459) (-0.78330781762881929,0.62163402645091459) (-0.95867858236542669,-0.28449143346297068) (-0.95867858236542669,0.28449143346297068) (0.9999819377321717,-0.006010341871398912) (0.9999819377321717,0.006010341871398912) (0.44916203367079621,-0.89345031619487048) (0.44916203367079621,0.89345031619487048) (0.68267698184321346,-0.73072028742976669) (0.68267698184321346,0.73072028742976669) (0.92599610510330754,0.37753306257002778) (0.92599610510330754,-0.37753306257002778) (0.68479258567041035,-0.72873802879418514) (0.68479258567041035,0.72873802879418514) (-0.82450801314666189,0.56585027724385173) (-0.82450801314666189,-0.56585027724385173) (-0.14635343433824743,-0.98923236514855317) (-0.14635343433824743,0.98923236514855317) (-0.59991921910421486,0.80006057929971086) (-0.59991921910421486,-0.80006057929971086) (0.42066610498016999,-0.90721553564784796) (0.42066610498016999,0.90721553564784796) (-0.477520517802206,-0.87862059791352098) (-0.477520517802206,0.87862059791352098) (0.99995790004565066,-0.0091759542442507794) (0.99995790004565066,0.0091759542442507794) (-0.031343691423530294,-0.99950866579932485) (-0.031343691423530294,0.99950866579932485) (-0.087046081437866879,-0.99620428613126943) (-0.087046081437866879,0.99620428613126943) (-0.68469151647064741,0.72883298997309709) (-0.68469151647064741,-0.72883298997309709) (-0.40156397642803976,0.91583097394404667) (-0.40156397642803976,-0.91583097394404667) (0.8038648852085184,0.59481194198561183) (0.8038648852085184,-0.59481194198561183) (-0.92673775145585058,0.37570885007749638) (-0.92673775145585058,-0.37570885007749638)
 (1,0) (-0.92673775145585058,-0.37570885007749638) (-0.92673775145585058,0.37570885007749638) (-0.26567895642847023,0.96406156033267854) (-0.26567895642847023,-0.96406156033267854) (-0.99219092526324004,-0.12472837618310913) (-0.99219092526324004,0.12472837618310913) (-0.27808445302196688,-0.96055662872496639) (-0.27808445302196688,0.96055662872496639) (0.99052640206094977,-0.13732241921911256) (0.99052640206094977,0.13732241921911256) (-0.78330781762881929,0.62163402645091459) (-0.78330781762881929,-0.62163402645091459) (-0.95867858236542669,0.28449143346297068) (-0.95867858236542669,-0.28449143346297068) (0.9999819377321717,0.006010341871398912) (0.9999819377321717,-0.006010341871398912) (0.44916203367079621,0.89345031619487048) (0.44916203367079621,-0.89345031619487048) (0.68267698184321346,0.73072028742976669) (0.68267698184321346,-0.73072028742976669) (0.92599610510330754,-0.37753306257002778) (0.92599610510330754,0.37753306257002778) (0.68479258567041035,0.72873802879418514) (0.68479258567041035,-0.72873802879418514) (-0.82450801314666189,-0.56585027724385173) (-0.82450801314666189,0.56585027724385173) (-0.14635343433824743,0.98923236514855317) (-0.14635343433824743,-0.98923236514855317) (-0.59991921910421486,-0.80006057929971086) (-0.59991921910421486,0.80006057929971086) (0.42066610498016999,0.90721553564784796) (0.42066610498016999,-0.90721553564784796) (-0.477520517802206,0.87862059791352098) (-0.477520517802206,-0.87862059791352098) (0.99995790004565066,0.0091759542442507794) (0.99995790004565066,-0.0091759542442507794) (-0.031343691423530294,0.99950866579932485) (-0.031343691423530294,-0.99950866579932485) (-0.087046081437866879,0.99620428613126943) (-0.087046081437866879,-0.99620428613126943) (-0.68469151647064741,-0.72883298997309709) (-0.68469151647064741,0.72883298997309709) (-0.40156397642803976,-0.91583097394404667) (-0.40156397642803976,0.91583097394404667) (0.8038648852085184,-0.59481194198561183) (0.8038648852085184,0.59481194198561183)
