# Created by Octave 5.1.0, Tue Sep 14 19:47:10 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
3.0325503070526312e-13


# name: H
# type: complex matrix
# rows: 67
# columns: 67
 (1,0) (-0.69486459650728727,0.71914059301416489) (-0.69486459650728727,-0.71914059301416489) (0.95409433356401729,-0.29950626481099546) (0.95409433356401729,0.29950626481099546) (-0.23313666164325303,0.97244398141889887) (-0.23313666164325303,-0.97244398141889887) (-0.32139782407816492,-0.94694426376520202) (-0.32139782407816492,0.94694426376520202) (0.98054963911847104,-0.19627125419846128) (0.98054963911847104,0.19627125419846128) (-0.13379931668241596,-0.99100844741874861) (-0.13379931668241596,0.99100844741874861) (-0.94605832847556504,-0.32399635664929799) (-0.94605832847556504,0.32399635664929799) (-0.80240615881337185,-0.59677831419914196) (-0.80240615881337185,0.59677831419914196) (-0.99024517445570992,-0.13933590516152408) (-0.99024517445570992,0.13933590516152408) (-0.34260436159339569,0.93947977701341812) (-0.34260436159339569,-0.93947977701341812) (0.90137153326161346,0.4330466014479365) (0.90137153326161346,-0.4330466014479365) (0.99448972836322369,0.10483406020965765) (0.99448972836322369,-0.10483406020965765) (-0.99724694634397848,0.074152060036186046) (-0.99724694634397848,-0.074152060036186046) (-0.55806718355085672,0.82979576923699438) (-0.55806718355085672,-0.82979576923699438) (0.99636848002835898,0.085146062774373713) (0.99636848002835898,-0.085146062774373713) (-0.36040740875702754,0.93279499340050331) (-0.36040740875702754,-0.93279499340050331) (-0.12330654764093914,-0.99236862874078879) (-0.12330654764093914,0.99236862874078879) (-0.98690444958995305,-0.16130594341049978) (-0.98690444958995305,0.16130594341049978) (0.99456622188384691,-0.1041058609670395) (0.99456622188384691,0.1041058609670395) (-0.81102610316354784,-0.58500996571626895) (-0.81102610316354784,0.58500996571626895) (-0.27878714550755179,0.96035291820234081) (-0.27878714550755179,-0.96035291820234081) (-0.9282333164521398,-0.37199853525015686) (-0.9282333164521398,0.37199853525015686) (-0.23411536331767677,-0.97220882358608152) (-0.23411536331767677,0.97220882358608152) (-0.29870418122491438,-0.95434575082553519) (-0.29870418122491438,0.95434575082553519) (0.4450606645140599,-0.89550042149755738) (0.4450606645140599,0.89550042149755738) (0.59693722434409768,0.80228794718128738) (0.59693722434409768,-0.80228794718128738) (0.9962402335106999,-0.086633695145404588) (0.9962402335106999,0.086633695145404588) (0.57423267259831412,-0.81869215076278667) (0.57423267259831412,0.81869215076278667) (-0.27242293294181363,-0.96217760606209313) (-0.27242293294181363,0.96217760606209313) (0.6403152617664043,0.76811220895714238) (0.6403152617664043,-0.76811220895714238) (-0.29418436621559335,-0.95574869012430785) (-0.29418436621559335,0.95574869012430785) (0.24137259930841723,-0.97043251609944392) (0.24137259930841723,0.97043251609944392) (0.79231977469363213,0.61010603556220711) (0.79231977469363213,-0.61010603556220711)
 (1,0) (-0.69486459650728727,-0.71914059301416489) (-0.69486459650728727,0.71914059301416489) (0.95409433356401729,0.29950626481099546) (0.95409433356401729,-0.29950626481099546) (-0.23313666164325303,-0.97244398141889887) (-0.23313666164325303,0.97244398141889887) (-0.32139782407816492,0.94694426376520202) (-0.32139782407816492,-0.94694426376520202) (0.98054963911847104,0.19627125419846128) (0.98054963911847104,-0.19627125419846128) (-0.13379931668241596,0.99100844741874861) (-0.13379931668241596,-0.99100844741874861) (-0.94605832847556504,0.32399635664929799) (-0.94605832847556504,-0.32399635664929799) (-0.80240615881337185,0.59677831419914196) (-0.80240615881337185,-0.59677831419914196) (-0.99024517445570992,0.13933590516152408) (-0.99024517445570992,-0.13933590516152408) (-0.34260436159339569,-0.93947977701341812) (-0.34260436159339569,0.93947977701341812) (0.90137153326161346,-0.4330466014479365) (0.90137153326161346,0.4330466014479365) (0.99448972836322369,-0.10483406020965765) (0.99448972836322369,0.10483406020965765) (-0.99724694634397848,-0.074152060036186046) (-0.99724694634397848,0.074152060036186046) (-0.55806718355085672,-0.82979576923699438) (-0.55806718355085672,0.82979576923699438) (0.99636848002835898,-0.085146062774373713) (0.99636848002835898,0.085146062774373713) (-0.36040740875702754,-0.93279499340050331) (-0.36040740875702754,0.93279499340050331) (-0.12330654764093914,0.99236862874078879) (-0.12330654764093914,-0.99236862874078879) (-0.98690444958995305,0.16130594341049978) (-0.98690444958995305,-0.16130594341049978) (0.99456622188384691,0.1041058609670395) (0.99456622188384691,-0.1041058609670395) (-0.81102610316354784,0.58500996571626895) (-0.81102610316354784,-0.58500996571626895) (-0.27878714550755179,-0.96035291820234081) (-0.27878714550755179,0.96035291820234081) (-0.9282333164521398,0.37199853525015686) (-0.9282333164521398,-0.37199853525015686) (-0.23411536331767677,0.97220882358608152) (-0.23411536331767677,-0.97220882358608152) (-0.29870418122491438,0.95434575082553519) (-0.29870418122491438,-0.95434575082553519) (0.4450606645140599,0.89550042149755738) (0.4450606645140599,-0.89550042149755738) (0.59693722434409768,-0.80228794718128738) (0.59693722434409768,0.80228794718128738) (0.9962402335106999,0.086633695145404588) (0.9962402335106999,-0.086633695145404588) (0.57423267259831412,0.81869215076278667) (0.57423267259831412,-0.81869215076278667) (-0.27242293294181363,0.96217760606209313) (-0.27242293294181363,-0.96217760606209313) (0.6403152617664043,-0.76811220895714238) (0.6403152617664043,0.76811220895714238) (-0.29418436621559335,0.95574869012430785) (-0.29418436621559335,-0.95574869012430785) (0.24137259930841723,0.97043251609944392) (0.24137259930841723,-0.97043251609944392) (0.79231977469363213,-0.61010603556220711) (0.79231977469363213,0.61010603556220711)
 (1,0) (0.79231977469363213,0.61010603556220711) (0.79231977469363213,-0.61010603556220711) (-0.69486459650728727,0.71914059301416489) (-0.69486459650728727,-0.71914059301416489) (0.95409433356401729,-0.29950626481099546) (0.95409433356401729,0.29950626481099546) (-0.23313666164325303,0.97244398141889887) (-0.23313666164325303,-0.97244398141889887) (-0.32139782407816492,-0.94694426376520202) (-0.32139782407816492,0.94694426376520202) (0.98054963911847104,-0.19627125419846128) (0.98054963911847104,0.19627125419846128) (-0.13379931668241596,-0.99100844741874861) (-0.13379931668241596,0.99100844741874861) (-0.94605832847556504,-0.32399635664929799) (-0.94605832847556504,0.32399635664929799) (-0.80240615881337185,-0.59677831419914196) (-0.80240615881337185,0.59677831419914196) (-0.99024517445570992,-0.13933590516152408) (-0.99024517445570992,0.13933590516152408) (-0.34260436159339569,0.93947977701341812) (-0.34260436159339569,-0.93947977701341812) (0.90137153326161346,0.4330466014479365) (0.90137153326161346,-0.4330466014479365) (0.99448972836322369,0.10483406020965765) (0.99448972836322369,-0.10483406020965765) (-0.99724694634397848,0.074152060036186046) (-0.99724694634397848,-0.074152060036186046) (-0.55806718355085672,0.82979576923699438) (-0.55806718355085672,-0.82979576923699438) (0.99636848002835898,0.085146062774373713) (0.99636848002835898,-0.085146062774373713) (-0.36040740875702754,0.93279499340050331) (-0.36040740875702754,-0.93279499340050331) (-0.12330654764093914,-0.99236862874078879) (-0.12330654764093914,0.99236862874078879) (-0.98690444958995305,-0.16130594341049978) (-0.98690444958995305,0.16130594341049978) (0.99456622188384691,-0.1041058609670395) (0.99456622188384691,0.1041058609670395) (-0.81102610316354784,-0.58500996571626895) (-0.81102610316354784,0.58500996571626895) (-0.27878714550755179,0.96035291820234081) (-0.27878714550755179,-0.96035291820234081) (-0.9282333164521398,-0.37199853525015686) (-0.9282333164521398,0.37199853525015686) (-0.23411536331767677,-0.97220882358608152) (-0.23411536331767677,0.97220882358608152) (-0.29870418122491438,-0.95434575082553519) (-0.29870418122491438,0.95434575082553519) (0.4450606645140599,-0.89550042149755738) (0.4450606645140599,0.89550042149755738) (0.59693722434409768,0.80228794718128738) (0.59693722434409768,-0.80228794718128738) (0.9962402335106999,-0.086633695145404588) (0.9962402335106999,0.086633695145404588) (0.57423267259831412,-0.81869215076278667) (0.57423267259831412,0.81869215076278667) (-0.27242293294181363,-0.96217760606209313) (-0.27242293294181363,0.96217760606209313) (0.6403152617664043,0.76811220895714238) (0.6403152617664043,-0.76811220895714238) (-0.29418436621559335,-0.95574869012430785) (-0.29418436621559335,0.95574869012430785) (0.24137259930841723,-0.97043251609944392) (0.24137259930841723,0.97043251609944392)
 (1,0) (0.79231977469363213,-0.61010603556220711) (0.79231977469363213,0.61010603556220711) (-0.69486459650728727,-0.71914059301416489) (-0.69486459650728727,0.71914059301416489) (0.95409433356401729,0.29950626481099546) (0.95409433356401729,-0.29950626481099546) (-0.23313666164325303,-0.97244398141889887) (-0.23313666164325303,0.97244398141889887) (-0.32139782407816492,0.94694426376520202) (-0.32139782407816492,-0.94694426376520202) (0.98054963911847104,0.19627125419846128) (0.98054963911847104,-0.19627125419846128) (-0.13379931668241596,0.99100844741874861) (-0.13379931668241596,-0.99100844741874861) (-0.94605832847556504,0.32399635664929799) (-0.94605832847556504,-0.32399635664929799) (-0.80240615881337185,0.59677831419914196) (-0.80240615881337185,-0.59677831419914196) (-0.99024517445570992,0.13933590516152408) (-0.99024517445570992,-0.13933590516152408) (-0.34260436159339569,-0.93947977701341812) (-0.34260436159339569,0.93947977701341812) (0.90137153326161346,-0.4330466014479365) (0.90137153326161346,0.4330466014479365) (0.99448972836322369,-0.10483406020965765) (0.99448972836322369,0.10483406020965765) (-0.99724694634397848,-0.074152060036186046) (-0.99724694634397848,0.074152060036186046) (-0.55806718355085672,-0.82979576923699438) (-0.55806718355085672,0.82979576923699438) (0.99636848002835898,-0.085146062774373713) (0.99636848002835898,0.085146062774373713) (-0.36040740875702754,-0.93279499340050331) (-0.36040740875702754,0.93279499340050331) (-0.12330654764093914,0.99236862874078879) (-0.12330654764093914,-0.99236862874078879) (-0.98690444958995305,0.16130594341049978) (-0.98690444958995305,-0.16130594341049978) (0.99456622188384691,0.1041058609670395) (0.99456622188384691,-0.1041058609670395) (-0.81102610316354784,0.58500996571626895) (-0.81102610316354784,-0.58500996571626895) (-0.27878714550755179,-0.96035291820234081) (-0.27878714550755179,0.96035291820234081) (-0.9282333164521398,0.37199853525015686) (-0.9282333164521398,-0.37199853525015686) (-0.23411536331767677,0.97220882358608152) (-0.23411536331767677,-0.97220882358608152) (-0.29870418122491438,0.95434575082553519) (-0.29870418122491438,-0.95434575082553519) (0.4450606645140599,0.89550042149755738) (0.4450606645140599,-0.89550042149755738) (0.59693722434409768,-0.80228794718128738) (0.59693722434409768,0.80228794718128738) (0.9962402335106999,0.086633695145404588) (0.9962402335106999,-0.086633695145404588) (0.57423267259831412,0.81869215076278667) (0.57423267259831412,-0.81869215076278667) (-0.27242293294181363,0.96217760606209313) (-0.27242293294181363,-0.96217760606209313) (0.6403152617664043,-0.76811220895714238) (0.6403152617664043,0.76811220895714238) (-0.29418436621559335,0.95574869012430785) (-0.29418436621559335,-0.95574869012430785) (0.24137259930841723,0.97043251609944392) (0.24137259930841723,-0.97043251609944392)
 (1,0) (0.24137259930841723,-0.97043251609944392) (0.24137259930841723,0.97043251609944392) (0.79231977469363213,0.61010603556220711) (0.79231977469363213,-0.61010603556220711) (-0.69486459650728727,0.71914059301416489) (-0.69486459650728727,-0.71914059301416489) (0.95409433356401729,-0.29950626481099546) (0.95409433356401729,0.29950626481099546) (-0.23313666164325303,0.97244398141889887) (-0.23313666164325303,-0.97244398141889887) (-0.32139782407816492,-0.94694426376520202) (-0.32139782407816492,0.94694426376520202) (0.98054963911847104,-0.19627125419846128) (0.98054963911847104,0.19627125419846128) (-0.13379931668241596,-0.99100844741874861) (-0.13379931668241596,0.99100844741874861) (-0.94605832847556504,-0.32399635664929799) (-0.94605832847556504,0.32399635664929799) (-0.80240615881337185,-0.59677831419914196) (-0.80240615881337185,0.59677831419914196) (-0.99024517445570992,-0.13933590516152408) (-0.99024517445570992,0.13933590516152408) (-0.34260436159339569,0.93947977701341812) (-0.34260436159339569,-0.93947977701341812) (0.90137153326161346,0.4330466014479365) (0.90137153326161346,-0.4330466014479365) (0.99448972836322369,0.10483406020965765) (0.99448972836322369,-0.10483406020965765) (-0.99724694634397848,0.074152060036186046) (-0.99724694634397848,-0.074152060036186046) (-0.55806718355085672,0.82979576923699438) (-0.55806718355085672,-0.82979576923699438) (0.99636848002835898,0.085146062774373713) (0.99636848002835898,-0.085146062774373713) (-0.36040740875702754,0.93279499340050331) (-0.36040740875702754,-0.93279499340050331) (-0.12330654764093914,-0.99236862874078879) (-0.12330654764093914,0.99236862874078879) (-0.98690444958995305,-0.16130594341049978) (-0.98690444958995305,0.16130594341049978) (0.99456622188384691,-0.1041058609670395) (0.99456622188384691,0.1041058609670395) (-0.81102610316354784,-0.58500996571626895) (-0.81102610316354784,0.58500996571626895) (-0.27878714550755179,0.96035291820234081) (-0.27878714550755179,-0.96035291820234081) (-0.9282333164521398,-0.37199853525015686) (-0.9282333164521398,0.37199853525015686) (-0.23411536331767677,-0.97220882358608152) (-0.23411536331767677,0.97220882358608152) (-0.29870418122491438,-0.95434575082553519) (-0.29870418122491438,0.95434575082553519) (0.4450606645140599,-0.89550042149755738) (0.4450606645140599,0.89550042149755738) (0.59693722434409768,0.80228794718128738) (0.59693722434409768,-0.80228794718128738) (0.9962402335106999,-0.086633695145404588) (0.9962402335106999,0.086633695145404588) (0.57423267259831412,-0.81869215076278667) (0.57423267259831412,0.81869215076278667) (-0.27242293294181363,-0.96217760606209313) (-0.27242293294181363,0.96217760606209313) (0.6403152617664043,0.76811220895714238) (0.6403152617664043,-0.76811220895714238) (-0.29418436621559335,-0.95574869012430785) (-0.29418436621559335,0.95574869012430785)
 (1,0) (0.24137259930841723,0.97043251609944392) (0.24137259930841723,-0.97043251609944392) (0.79231977469363213,-0.61010603556220711) (0.79231977469363213,0.61010603556220711) (-0.69486459650728727,-0.71914059301416489) (-0.69486459650728727,0.71914059301416489) (0.95409433356401729,0.29950626481099546) (0.95409433356401729,-0.29950626481099546) (-0.23313666164325303,-0.97244398141889887) (-0.23313666164325303,0.97244398141889887) (-0.32139782407816492,0.94694426376520202) (-0.32139782407816492,-0.94694426376520202) (0.98054963911847104,0.19627125419846128) (0.98054963911847104,-0.19627125419846128) (-0.13379931668241596,0.99100844741874861) (-0.13379931668241596,-0.99100844741874861) (-0.94605832847556504,0.32399635664929799) (-0.94605832847556504,-0.32399635664929799) (-0.80240615881337185,0.59677831419914196) (-0.80240615881337185,-0.59677831419914196) (-0.99024517445570992,0.13933590516152408) (-0.99024517445570992,-0.13933590516152408) (-0.34260436159339569,-0.93947977701341812) (-0.34260436159339569,0.93947977701341812) (0.90137153326161346,-0.4330466014479365) (0.90137153326161346,0.4330466014479365) (0.99448972836322369,-0.10483406020965765) (0.99448972836322369,0.10483406020965765) (-0.99724694634397848,-0.074152060036186046) (-0.99724694634397848,0.074152060036186046) (-0.55806718355085672,-0.82979576923699438) (-0.55806718355085672,0.82979576923699438) (0.99636848002835898,-0.085146062774373713) (0.99636848002835898,0.085146062774373713) (-0.36040740875702754,-0.93279499340050331) (-0.36040740875702754,0.93279499340050331) (-0.12330654764093914,0.99236862874078879) (-0.12330654764093914,-0.99236862874078879) (-0.98690444958995305,0.16130594341049978) (-0.98690444958995305,-0.16130594341049978) (0.99456622188384691,0.1041058609670395) (0.99456622188384691,-0.1041058609670395) (-0.81102610316354784,0.58500996571626895) (-0.81102610316354784,-0.58500996571626895) (-0.27878714550755179,-0.96035291820234081) (-0.27878714550755179,0.96035291820234081) (-0.9282333164521398,0.37199853525015686) (-0.9282333164521398,-0.37199853525015686) (-0.23411536331767677,0.97220882358608152) (-0.23411536331767677,-0.97220882358608152) (-0.29870418122491438,0.95434575082553519) (-0.29870418122491438,-0.95434575082553519) (0.4450606645140599,0.89550042149755738) (0.4450606645140599,-0.89550042149755738) (0.59693722434409768,-0.80228794718128738) (0.59693722434409768,0.80228794718128738) (0.9962402335106999,0.086633695145404588) (0.9962402335106999,-0.086633695145404588) (0.57423267259831412,0.81869215076278667) (0.57423267259831412,-0.81869215076278667) (-0.27242293294181363,0.96217760606209313) (-0.27242293294181363,-0.96217760606209313) (0.6403152617664043,-0.76811220895714238) (0.6403152617664043,0.76811220895714238) (-0.29418436621559335,0.95574869012430785) (-0.29418436621559335,-0.95574869012430785)
 (1,0) (-0.29418436621559335,-0.95574869012430785) (-0.29418436621559335,0.95574869012430785) (0.24137259930841723,-0.97043251609944392) (0.24137259930841723,0.97043251609944392) (0.79231977469363213,0.61010603556220711) (0.79231977469363213,-0.61010603556220711) (-0.69486459650728727,0.71914059301416489) (-0.69486459650728727,-0.71914059301416489) (0.95409433356401729,-0.29950626481099546) (0.95409433356401729,0.29950626481099546) (-0.23313666164325303,0.97244398141889887) (-0.23313666164325303,-0.97244398141889887) (-0.32139782407816492,-0.94694426376520202) (-0.32139782407816492,0.94694426376520202) (0.98054963911847104,-0.19627125419846128) (0.98054963911847104,0.19627125419846128) (-0.13379931668241596,-0.99100844741874861) (-0.13379931668241596,0.99100844741874861) (-0.94605832847556504,-0.32399635664929799) (-0.94605832847556504,0.32399635664929799) (-0.80240615881337185,-0.59677831419914196) (-0.80240615881337185,0.59677831419914196) (-0.99024517445570992,-0.13933590516152408) (-0.99024517445570992,0.13933590516152408) (-0.34260436159339569,0.93947977701341812) (-0.34260436159339569,-0.93947977701341812) (0.90137153326161346,0.4330466014479365) (0.90137153326161346,-0.4330466014479365) (0.99448972836322369,0.10483406020965765) (0.99448972836322369,-0.10483406020965765) (-0.99724694634397848,0.074152060036186046) (-0.99724694634397848,-0.074152060036186046) (-0.55806718355085672,0.82979576923699438) (-0.55806718355085672,-0.82979576923699438) (0.99636848002835898,0.085146062774373713) (0.99636848002835898,-0.085146062774373713) (-0.36040740875702754,0.93279499340050331) (-0.36040740875702754,-0.93279499340050331) (-0.12330654764093914,-0.99236862874078879) (-0.12330654764093914,0.99236862874078879) (-0.98690444958995305,-0.16130594341049978) (-0.98690444958995305,0.16130594341049978) (0.99456622188384691,-0.1041058609670395) (0.99456622188384691,0.1041058609670395) (-0.81102610316354784,-0.58500996571626895) (-0.81102610316354784,0.58500996571626895) (-0.27878714550755179,0.96035291820234081) (-0.27878714550755179,-0.96035291820234081) (-0.9282333164521398,-0.37199853525015686) (-0.9282333164521398,0.37199853525015686) (-0.23411536331767677,-0.97220882358608152) (-0.23411536331767677,0.97220882358608152) (-0.29870418122491438,-0.95434575082553519) (-0.29870418122491438,0.95434575082553519) (0.4450606645140599,-0.89550042149755738) (0.4450606645140599,0.89550042149755738) (0.59693722434409768,0.80228794718128738) (0.59693722434409768,-0.80228794718128738) (0.9962402335106999,-0.086633695145404588) (0.9962402335106999,0.086633695145404588) (0.57423267259831412,-0.81869215076278667) (0.57423267259831412,0.81869215076278667) (-0.27242293294181363,-0.96217760606209313) (-0.27242293294181363,0.96217760606209313) (0.6403152617664043,0.76811220895714238) (0.6403152617664043,-0.76811220895714238)
 (1,0) (-0.29418436621559335,0.95574869012430785) (-0.29418436621559335,-0.95574869012430785) (0.24137259930841723,0.97043251609944392) (0.24137259930841723,-0.97043251609944392) (0.79231977469363213,-0.61010603556220711) (0.79231977469363213,0.61010603556220711) (-0.69486459650728727,-0.71914059301416489) (-0.69486459650728727,0.71914059301416489) (0.95409433356401729,0.29950626481099546) (0.95409433356401729,-0.29950626481099546) (-0.23313666164325303,-0.97244398141889887) (-0.23313666164325303,0.97244398141889887) (-0.32139782407816492,0.94694426376520202) (-0.32139782407816492,-0.94694426376520202) (0.98054963911847104,0.19627125419846128) (0.98054963911847104,-0.19627125419846128) (-0.13379931668241596,0.99100844741874861) (-0.13379931668241596,-0.99100844741874861) (-0.94605832847556504,0.32399635664929799) (-0.94605832847556504,-0.32399635664929799) (-0.80240615881337185,0.59677831419914196) (-0.80240615881337185,-0.59677831419914196) (-0.99024517445570992,0.13933590516152408) (-0.99024517445570992,-0.13933590516152408) (-0.34260436159339569,-0.93947977701341812) (-0.34260436159339569,0.93947977701341812) (0.90137153326161346,-0.4330466014479365) (0.90137153326161346,0.4330466014479365) (0.99448972836322369,-0.10483406020965765) (0.99448972836322369,0.10483406020965765) (-0.99724694634397848,-0.074152060036186046) (-0.99724694634397848,0.074152060036186046) (-0.55806718355085672,-0.82979576923699438) (-0.55806718355085672,0.82979576923699438) (0.99636848002835898,-0.085146062774373713) (0.99636848002835898,0.085146062774373713) (-0.36040740875702754,-0.93279499340050331) (-0.36040740875702754,0.93279499340050331) (-0.12330654764093914,0.99236862874078879) (-0.12330654764093914,-0.99236862874078879) (-0.98690444958995305,0.16130594341049978) (-0.98690444958995305,-0.16130594341049978) (0.99456622188384691,0.1041058609670395) (0.99456622188384691,-0.1041058609670395) (-0.81102610316354784,0.58500996571626895) (-0.81102610316354784,-0.58500996571626895) (-0.27878714550755179,-0.96035291820234081) (-0.27878714550755179,0.96035291820234081) (-0.9282333164521398,0.37199853525015686) (-0.9282333164521398,-0.37199853525015686) (-0.23411536331767677,0.97220882358608152) (-0.23411536331767677,-0.97220882358608152) (-0.29870418122491438,0.95434575082553519) (-0.29870418122491438,-0.95434575082553519) (0.4450606645140599,0.89550042149755738) (0.4450606645140599,-0.89550042149755738) (0.59693722434409768,-0.80228794718128738) (0.59693722434409768,0.80228794718128738) (0.9962402335106999,0.086633695145404588) (0.9962402335106999,-0.086633695145404588) (0.57423267259831412,0.81869215076278667) (0.57423267259831412,-0.81869215076278667) (-0.27242293294181363,0.96217760606209313) (-0.27242293294181363,-0.96217760606209313) (0.6403152617664043,-0.76811220895714238) (0.6403152617664043,0.76811220895714238)
 (1,0) (0.6403152617664043,0.76811220895714238) (0.6403152617664043,-0.76811220895714238) (-0.29418436621559335,-0.95574869012430785) (-0.29418436621559335,0.95574869012430785) (0.24137259930841723,-0.97043251609944392) (0.24137259930841723,0.97043251609944392) (0.79231977469363213,0.61010603556220711) (0.79231977469363213,-0.61010603556220711) (-0.69486459650728727,0.71914059301416489) (-0.69486459650728727,-0.71914059301416489) (0.95409433356401729,-0.29950626481099546) (0.95409433356401729,0.29950626481099546) (-0.23313666164325303,0.97244398141889887) (-0.23313666164325303,-0.97244398141889887) (-0.32139782407816492,-0.94694426376520202) (-0.32139782407816492,0.94694426376520202) (0.98054963911847104,-0.19627125419846128) (0.98054963911847104,0.19627125419846128) (-0.13379931668241596,-0.99100844741874861) (-0.13379931668241596,0.99100844741874861) (-0.94605832847556504,-0.32399635664929799) (-0.94605832847556504,0.32399635664929799) (-0.80240615881337185,-0.59677831419914196) (-0.80240615881337185,0.59677831419914196) (-0.99024517445570992,-0.13933590516152408) (-0.99024517445570992,0.13933590516152408) (-0.34260436159339569,0.93947977701341812) (-0.34260436159339569,-0.93947977701341812) (0.90137153326161346,0.4330466014479365) (0.90137153326161346,-0.4330466014479365) (0.99448972836322369,0.10483406020965765) (0.99448972836322369,-0.10483406020965765) (-0.99724694634397848,0.074152060036186046) (-0.99724694634397848,-0.074152060036186046) (-0.55806718355085672,0.82979576923699438) (-0.55806718355085672,-0.82979576923699438) (0.99636848002835898,0.085146062774373713) (0.99636848002835898,-0.085146062774373713) (-0.36040740875702754,0.93279499340050331) (-0.36040740875702754,-0.93279499340050331) (-0.12330654764093914,-0.99236862874078879) (-0.12330654764093914,0.99236862874078879) (-0.98690444958995305,-0.16130594341049978) (-0.98690444958995305,0.16130594341049978) (0.99456622188384691,-0.1041058609670395) (0.99456622188384691,0.1041058609670395) (-0.81102610316354784,-0.58500996571626895) (-0.81102610316354784,0.58500996571626895) (-0.27878714550755179,0.96035291820234081) (-0.27878714550755179,-0.96035291820234081) (-0.9282333164521398,-0.37199853525015686) (-0.9282333164521398,0.37199853525015686) (-0.23411536331767677,-0.97220882358608152) (-0.23411536331767677,0.97220882358608152) (-0.29870418122491438,-0.95434575082553519) (-0.29870418122491438,0.95434575082553519) (0.4450606645140599,-0.89550042149755738) (0.4450606645140599,0.89550042149755738) (0.59693722434409768,0.80228794718128738) (0.59693722434409768,-0.80228794718128738) (0.9962402335106999,-0.086633695145404588) (0.9962402335106999,0.086633695145404588) (0.57423267259831412,-0.81869215076278667) (0.57423267259831412,0.81869215076278667) (-0.27242293294181363,-0.96217760606209313) (-0.27242293294181363,0.96217760606209313)
 (1,0) (0.6403152617664043,-0.76811220895714238) (0.6403152617664043,0.76811220895714238) (-0.29418436621559335,0.95574869012430785) (-0.29418436621559335,-0.95574869012430785) (0.24137259930841723,0.97043251609944392) (0.24137259930841723,-0.97043251609944392) (0.79231977469363213,-0.61010603556220711) (0.79231977469363213,0.61010603556220711) (-0.69486459650728727,-0.71914059301416489) (-0.69486459650728727,0.71914059301416489) (0.95409433356401729,0.29950626481099546) (0.95409433356401729,-0.29950626481099546) (-0.23313666164325303,-0.97244398141889887) (-0.23313666164325303,0.97244398141889887) (-0.32139782407816492,0.94694426376520202) (-0.32139782407816492,-0.94694426376520202) (0.98054963911847104,0.19627125419846128) (0.98054963911847104,-0.19627125419846128) (-0.13379931668241596,0.99100844741874861) (-0.13379931668241596,-0.99100844741874861) (-0.94605832847556504,0.32399635664929799) (-0.94605832847556504,-0.32399635664929799) (-0.80240615881337185,0.59677831419914196) (-0.80240615881337185,-0.59677831419914196) (-0.99024517445570992,0.13933590516152408) (-0.99024517445570992,-0.13933590516152408) (-0.34260436159339569,-0.93947977701341812) (-0.34260436159339569,0.93947977701341812) (0.90137153326161346,-0.4330466014479365) (0.90137153326161346,0.4330466014479365) (0.99448972836322369,-0.10483406020965765) (0.99448972836322369,0.10483406020965765) (-0.99724694634397848,-0.074152060036186046) (-0.99724694634397848,0.074152060036186046) (-0.55806718355085672,-0.82979576923699438) (-0.55806718355085672,0.82979576923699438) (0.99636848002835898,-0.085146062774373713) (0.99636848002835898,0.085146062774373713) (-0.36040740875702754,-0.93279499340050331) (-0.36040740875702754,0.93279499340050331) (-0.12330654764093914,0.99236862874078879) (-0.12330654764093914,-0.99236862874078879) (-0.98690444958995305,0.16130594341049978) (-0.98690444958995305,-0.16130594341049978) (0.99456622188384691,0.1041058609670395) (0.99456622188384691,-0.1041058609670395) (-0.81102610316354784,0.58500996571626895) (-0.81102610316354784,-0.58500996571626895) (-0.27878714550755179,-0.96035291820234081) (-0.27878714550755179,0.96035291820234081) (-0.9282333164521398,0.37199853525015686) (-0.9282333164521398,-0.37199853525015686) (-0.23411536331767677,0.97220882358608152) (-0.23411536331767677,-0.97220882358608152) (-0.29870418122491438,0.95434575082553519) (-0.29870418122491438,-0.95434575082553519) (0.4450606645140599,0.89550042149755738) (0.4450606645140599,-0.89550042149755738) (0.59693722434409768,-0.80228794718128738) (0.59693722434409768,0.80228794718128738) (0.9962402335106999,0.086633695145404588) (0.9962402335106999,-0.086633695145404588) (0.57423267259831412,0.81869215076278667) (0.57423267259831412,-0.81869215076278667) (-0.27242293294181363,0.96217760606209313) (-0.27242293294181363,-0.96217760606209313)
